,아이디,댓글 내용
68,  메롱,"이때 진짜 너무너무 슬펐어 진짜 그 추억이 미치도록 많은 7년을 마무리 하는 마지막 인사잖아 저 ""잘 가"" 가 ...  솔직히 초반에 규민의 행동이 진짜 이해가 1도 안 가고 내가 뭐라고 시청자 입장에서 규민이를 너무 미워했었는데 최종화까지 오니까 이때까지 규민이 해은한테 너무나도 차갑게 대했던 게 왜 그랬는지 이해가 되고.. 규민의 혼란스러운 마음이 나까지 느껴져서 공감도 많이 됐음 .. 그리고 내가 저기 출연 했었으면 지금 해은, 규민, 태이, 나언, 현규, 나연, 희두, 지연, 원빈, 지수 만큼 솔직하지 못했을 것 같음 그 무엇보다도 어렵고 힘든 게 본인 마음에 솔직해지는 거잖아요 그거 어렵잖아요 또 이렇게 성장하는 거고..  출연자 분들 다들 수고 많으셨고 행복만 하길 바랄게요 진짜 응원해요 앞으로의 나날들도 다"
69,  우하,"규민이 제일 진국이였다. 사람 애틋하게 만드는 재주있는 듯.. 연애프로 출연진 한테 찐으로 매력있는 걸 느낀건 첨인듯 왤케 매력있냐… 클립영상, 기사 이런거 안보고 정주행 다 하고 유튜브 검색해보니 욕 엄청 있길래 너무 놀랬고 마음 아팠다ㅠㅠ 출연진 모두 서툴었는데 해은님이 너무 서럽게 계속 울어서 나쁜 사람 프레임 씌워진 채 다들 본 것 같음. 난 보면서 규민 행동 다 이해됐고 짜증낼수도 있던 상황에서도 차분하게 대하고마음 따뜻하고 착한게 보였다. 보면서 한 번도 규민이 나쁘다라고 생각 못해봤는데 반응보고 깜짝놀램.. 멘탈 잘 잡았으면 좋겠고.. 너무 멋지고 좋은 사람이니까 행복했으면 좋겠어요 규민님"
70,  김종원,"아직 이 프로그램을 보진 못했습니다. 5년 만난 그 친구를 겨우 잊었는데, 다시 생각날까봐 두려웠습니다...이 영상으로 제 감정에 진심으로 마주할 수 있을 것 같습니다. 이제라도 방송을 챙겨보려 합니다. 감사합니다."
71,  애옹,규민.. 마지막에라도 이해받아서 내가 다 감사하다.. 친구들이랑 환연얘기할때 규민 편들면 개 욕먹었었다고오….. 고생했어요 출연진들 다 진짜.. 해은언니 진정한 행복을 빌어준 규민만의 방식이라고 생각합니다 진짜로…. 다들 행복하시길 ㅠㅠ
72,  HJ Y,해은이의 서사가 특히 와닿았던게 엑스와의 관계를 마무리하고 새로운 사람을 만나는 그 과정 속 감정선이 너무 공감돼ㅜㅜ
73,  제리루,둘 다 너무 고생 많았지만 환승연애2 출연을 계기로 7년 연애를 잘 마무리하게 된 것 같다! 두 사람의 결정을 응원하고 앞으로 행복만 하길
74,  익명,얘네는 머이렇게 아련하냐..항상.. 행복했으면좋겠다
75,  gribouillage,해은이 진짜 서러웠구나 ㅠㅠ 잘 정리되서 다행이다
76,  오사규,한편으론 이해가 가지 않는 장면들이 이렇게 마지막에 이해가 가네요 그동안 해은님에게 매정했던 모습이 혼자있을때 눈물 흘리는 모습이 여러 생각이 드네요 규민님이 할수 있는 최대한의 노력이자 배려였다는걸둘의 관계를 방해 할수없었다고 하는걸 보니 현규가 해은님한테 좋은 사람이라는걸 느꼈나보네요마지막에 해은님에게 최고의 선택이자 선물을 주어주네요 너무 멋있는 남자였네요 좋게 마무리 해줘서 환연 애청자로써 너무 감사합니다
77,  ??,진짜 너무 슬프다.. 7년이라는 시간의 마무리..
78,  King받드,진짜 마지막 이별 보면서 가장 미웠던게 제작진이었다 문자 한번만 더 보내게 해주지 ㅠㅠㅠㅠ
79,  맹,서로가 서로에게 너무 소중한 추억으로 남고 정말 좋은 사람 만나서 또 소중한 추억을 만들어 갔으면 좋겠다
80,  쉉쉉,많이 웃고 울었어요 다들 진정성 있는 모습이라 더 감정이입된듯해요ㅠㅠㅠㅠㅠ
81,  동깡,"처음부터 끝까지 규민행동이 이해됐고 19,20화 보고 영화 한 편 본것마냥 광광울었네요... 진짜 보는 내내 연애의 발견에서 진짜 우리 헤어지자 라는 말이 현실에서 사용된다는게 너무 슬프다...여태 규민 쳐 욕하던 사람들은 오랜기간연애 못 해 봤을거라 생각한다. 저 감정을 참으면서 행동하는게 정말 쉬운게 아닌데 아직까지고 얍쌥이다 뭐다 하는거보면 꼭 제발 연애해서 느껴봤으면..."
82,  블랙쿠키,왜 나도 같이 우냐ㅠㅠ
83,  하루하루,두분은 서로 말을 조곤조곤 예쁘게 해요.. 그래도 과거는 과거고 현규랑 잘 지내세요. 좋은 커플 좋은 기억으로 남기를...
84,  수디수디,둘 다 너무 예쁘다
85,  파시모늬,진짜 환연2는 레전드다:..
86,  자두,규민이 때문에 우는 해은이를 보며 마음이 아프지만 마지막 현규를 보니 해은님 털어버리고 새로운 사랑 시작하세요 .. 현규 너무 멋있다 진짜 ..
87,  심장좌,둘다 정말 예쁘고 멋진 사람들이다..
