,아이디,댓글 내용
1494,  HeeJung Shin,머리가 똑똑하니까 센스도 터지네 개멋있다..
1495,  lucy,1:29 아니 정현규 진짜 이렇게 설렐일이냐구ㅜㅜ 오늘 지연 진짜 빌런이였는데 헝구가 쏵 정리해줘서 속 한번 뚫렸음 (아니.. 사실 내 마음이 뚫렸어)
1496,  Sy _,오늘 레전드 직진이었다..둘이 평생 행복해라ㅠㅠㅠ
1497,  도망쳐,너무나도 혜은이 말투인데 현규가 스며들어서 간간히 쓰는 거 너무 조아
1498,  ㅇㅇ ㅇ,현규 진짜 존나 귀엽다………… 하 철벽 오지다가 해은누나 앞에서만 애기 됨
1499,  서맑음,현규 진짜 멋있는 사람이다.. 솔직하게 자기 감정표현을 부끄러워하지도 않고ㅠㅠㅠㅠ
1500,  ???,"둘다 그냥 너무 잘 어울리고 현규님 그냥 회차 매순간마다 너무 괜찮은 사람이신 거 같움,, 그냥 대리 설렘 쩔어 ㅜㅜ"
1501,  메츄리,아니 중간에 나언님 왤케 귀여우셔... 내 원픽   ....현규님 해은님 진짜 너무 잘어울려요....... 해은님 인터뷰에 웃음만 가득하니까 제가 다 행복한 느낌..
1502,  소시지패스,진짜 설레서 심장 터질 것 같음 현규야 진짜ㅜㅜㅜ 최고
1503,  룰루랄라,지금 해은 같은 사람에겐 현규가 필요함. 확신 주고 불안함을 안 주는. 이 사람 진짜 진국이구나 느낄 수 있는.. 해은님 볼 때마다 너무 마음이 아팠는데 현규 같은 사람이 이겨낼 수 있도록 제일 잘 도와줄 수 있을 것 같다 일단 저런 사람을 인생에서 만난다는 것부터가 축복임
1504,  ju0829,아 나진짜 ㅋㅋㅋㅋㅋ누군가이렇게 간절히응원한거처음이야..둘이그냥평생사랑해 보는것만으로 햄볶해♡
1505,  율리나,진짜 현규 걍 미쳤어 ㅠㅠㅠㅠㅠ 나도 심쿵
1506,  july,진짜 지연한테 개 철벽치고서는 해은이한테 철벽쳤다고 얘기하면서 나 잘했지 하는 넉낌 ㅠㅠㅠㅠㅠ 헌구 그대 댕냥이 같아 ...
1507,  이민희,1:14 현규 속상했어? 하고 입 삐쭉하는거 ㅈㄴ귀엽다 하...
1508,  가위바위보,"헝구야,,,,,,,,,,,,,,,진짜 환승연애 나와줘서 고마워"
1509,  꾸꾸까까,나언이 ㅠㅠ 너무 기엽당ㅋㅋㅋㅋ
1510,  은재,둘이 결혼해 그냥 ㅠㅠ 전국민이 축의금 내줄게
1511,  먹꿈,현규 그게 젤멋있었음 진실게임때 속상한건 그거뿐이고 그때감정일뿐이고 변한건없다고 ㅠㅠㅠㅠ
1512,  숌 굠,2:21 와중에 복잡한 말 속에서 손 가지고 놀다가 아야아 미아내이 커플 미치겠다 진짜...
1513,  룰루랄라,와씨 눈물나ㅋㅋㅋ우리해으니 이제 눈물멈춰지길♡진짜너무 멋진헝구헝구헝구
1514,  산처럼,진짜 나이도 어린데 왜이렇게 성숙하고 소신이며 생각이 흔들리지 않고 잡혀 있지 진짜 정신적으로 완벽
1515,  민쿠키,절대 헷갈리게 하지 않는 사람... 확신을 주는 사람... 진짜 멋있어........ 분명히 오해할 수 있는 상황에서 꼬이지 않게 대화하고... 하 현규 인간적으로 너무 멋진애다
1516,  정원,진짜 미쳤다 현규야 사랑해 ㅠ 해은아 행복하자
1517,  초이그뤠이스,어장관리안하고 진짜멋지다
1518,  어스파3원츄,현규 해은이가 자주쓰는 ’너무나도‘ 이말 요새 자주쓰는 듯! 쥰나 귀여워
1519,  Jennifer Yoo,세상에 저런 사람이 존재하는 구나.. 와 진짜 너무 멋있다
1520,  카드값줘체리,대체 어떻게 자랐길래 저런 분명한 태도를 가질 수 있지 진짜 멋있다
1521,  서서애리,진짜.. 멋있다.... 와....멋진 사람이다 진짜..
1522,  Miya,"언제부턴가 현규님을 점점더 의식해가고,그러면서 자연스럽게 누군가에대한 의식이 흐려지고, 그렇게 그렇게 가랑비 옷젖는 줄 모르게 스며들어가는 해은님의 모습에 내 마음도 기분도 좋아지고 흐뭇해지고 그냥 이대로 쭉ㅡ 두사람 모두 설렘가득한 일만 있었음~"
1523,  SummerTree,이 둘은 스트레이트 화법이라 너무 좋음. 영상 보고 있으면 피로도 0. 예쁘게 오래 만날 것 같은 사람들.
1524,  화니,태도 확실히 해주는 사람 멋잇네 하규 보는데ㅋㅋㅋㅋㅋㅋ나언이 뜬금 정신똑바로잇는지.확인하는거보고 귀얍 ㅋㅋㅋㅋㅋㅋ
1525,  Lindsey Choi,나언이 갑자기 나타나서 정신 체크 웃기네 ㅋㅋㅋㅋㅋ 현규는 진짜 너무 멋있다! 외모도 멋지지만 내면과 말과 행동은 더 멋있어!
1526,  ygvjjjn,남자주인공이 드라마 11회쯤 등장한 느낌해은이랑 현규 보면 그냥 완전 드라마 남주 여주 그 자체임외모랑 성격 스펙 모든게 너무나 로맨틱하고 완벽함
1527,  Hailey,7년.. 길지 잊기힘든 시간들이겠지 근데 이 기회를 놓치기에는 현규가 너무 멋진남자다.. 현규가 주는 확신만큼은 못 보여주더라도 현규앞에서 규민이랑 고민하는 모습은 최대한 안보여주는게 진심으로 좋아해주는 현규에대한 예의가 아닐까.. 18화 예고 보고 정말 가슴이 쿵 했다… 제발 별탈없이 이 좋은 남자랑 예쁜 연애하며 그 7년은 추억으로 묻어두길..
1528,  Gyeong Lee,나언이 ㅋㅋㅋㅋㅋ헝구가 혹시라도 실수해서 해은언니 오해한 거 못 풀어서 화나거나 수틀리거나 할까봐 걱정되가지곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1529,  주니지니,나언이가 현규땜에 성장했다고 하는게 너무 이해됨 ㅠㅜㅠㅠㅜㅠㅠㅠ배울게 너무 많아
1530,  여이,현규 좋은 사람... 해은이한테 그래서가 아니라 그냥 사람 자체가 참 괜찮다 상대 헷갈리게 하지않는 거 정말 중요함
1531,  Kang YJ,"‘내가 의자왕인줄 알았어?’ 이렇게 물어보는거 보고 현규가 진짜 똑똑한 사람이구나 느꼈음. 현규는 지연이 짜증낼때도 왜 그런지 다 알고 있었고, 지연이 불러서 얘기하고 나서 해은이 좀 질투 할 것 또한 다 알고 있다. 여자들 맘을 다 들여다 보고 있는 거 같음."
1532,  Anu,진짜 미치도록 설렌다! 둘이 너무 잘 어울리고 예쁘고...현규는 진짜 사이다 짱멋있고! 꼭 현실 커플 되길
1533,  레드폴,현규 해은은 찐 잘어울리고  현규는 진심 멋진사람인듯.
1534,  위니비니,지연이랑 있을 땐 불 있는대로 다 켜놓고 해은이랑 있을땐 끈게 웃기네 ㅋㅋㅋㅋ
1535,  Lena Blanc,멋있다 해은이 나중에 방송으로 보면 감동받을듯
1536,  솔브,나언 헝거 넘 좋아 마음이 건강해보여
1537,  JCMtoJUN,현규 진짜..또 한명의 완벽남이 지상에 도래했네
1538,  길민지,이와중에도 해은이한테 지연이 무례했던 얘기 안하는것도 존멋탱이네
1539,  B,아 해은이 행복해하니까 나까지 너무 좋고ㅠㅠ더군다나 현규 사람 너무 괜찮아 보여서 더 좋다ㅠㅠㅠㅠ해은이 이제 그만 울고 설레임만 먹자~!
1540,  마고Mago,현규 …이제껏 봤던 모든 연애프로그램 중에 역대급인것 같아요… 미친 개멋있어….말도안돼
1541,  이사랑,의자왕 당연하다는거 왤케 웃김 ㅋㅋㅋ뻘하게 웃기네 생각없이 들으면 웃김
1542,  Lifeisgood,나는 이제 현규 부모님이 궁금해졌다. 그분들은 얼마나 좋은 분들이실까? 정말 사람이 솔직 담백 그 자체임. 계산적이지 않은 모습이 현규의 가장 큰 매력 중 하나라고 생각함!!!
1543,  해피79하우스,나언이 넘 괜찮다~인연이 될려면옆에서 도와주는 사람이 있어야하는데나언이 넘 잘해주고 있네~~전 남친인데?쉽지않을텐데~~나언이 멋지고현규도 짱 멋지고해은인 현규랑 행복했으면 좋겠네~~~셋 다 예쁘고 다 잘 되길~~
1544,  류기민,"물론 6,7년이라는 시간이 쉽게 잊혀질 시간은 아니지만 지금 규민이는 정신을 못차린거같고 이제는 헝구로가자 이제 행복하자 해은아 ㅜㅜ"
1545,  왕자광수,진짜 이정도로 남 연애에 진심인건 이번이 처음임제발ㅠㅠ 해은언니 이미 마음 떠난 사람에게 더이상 상처 받지말고 언니 그 자체를 좋아해주고 예뻐해주는 현규 선택해줘요ㅠㅠㅠㅠㅠㅠ언니 마음 진짜 이해하고 7년 빈 자리가 큰 것도 다 이해하는데 난 그래도 상처안주는 현규ㅠㅠ
1546,  beens,현규 해은말투 너무나도 따라하는거 귀엽ㅠㅠ
1547,  꽃지구,지연이 참교육 할때 진심 개사이다
1548,  젠,미쳤다…. 어디서 이런 센스있고 다정하고 백마탄 왕자님이 나타나셨냐 배우 아니에요 진짜 미쳤네
1549,  미들네임,해은이 감동한소리가 여까지 들리넼ㅋㅋㅋㅋㅋ너무잼나다 현규 간지
1550,  SH P,옆에서보던 50대인 울신랑도현규해인이 너무 착하고 멋지대ㅋㅋ보는눈은 다같아
1551,  지오잰느,헝구가 누나랑 더 마실려고 했을 때 해은이 기분 사르르 녹았을 듯 ㅠㅠㅋㅋㅋㅋㅋㅋ 지연이가 너무 헝구한테 쉴새없이 말걸고 질문해서 좀 서운했는데 헝구가 바로 나랑 더 놀자고 해서 화 풀림
1552,  라우롸,해은ㅋㅋㅋㄱㅋㅋ음 그래? 이러는거 왜귀엽지ㅋㅋㅋ
1553,  NnJ,아들맘인데 현규처럼 키울려면 어떻게 교육시켜야하는지 현규 부모님께 교육신청하고 싶네..
1554,  ygvjjjn,내가 의자왕인줄 알았어? 이 말부터 진짜 심쿵했다  ㄷㄷㄷ내평생 연애프로 보면서 가장 설레고 진심 느껴지고 제일 멋진 남자 발견한 순간 ㄷㄷㄷ현규 진짜 진짜 멋졌다 ㄷㄷㄷ
1555,  J,"저 와중 좋아하는 둘 정신 챙기는 나언 넘 귀여움. 하늘 보니 동트는 새벽같은데, 방송이라 걱정스러움에 챙기러 온거 같음"
1556,  우지,현규 기존쎄 진짜 너무 좋다
1557,  솜땡땡,방으로 이동할때 은근슬쩍 손잡는거 웰케 설레냐규유우우우
1558,  초이셀,나 진짜 30평생 살면서 저렇게 외면 내면 모든게 완벽하고 멋있는 사람 첨봄 진짜 와..와.. 현규에게 감탄 또 감탄!!! 현규 계속 계속 보고싶다~~ ㅠㅠㅠ
1559,  Hero,지연이 참교육 방법 진짜 놀람예의는 갖추되 확실하게 선긋는 모습에 지연 진심 당황ㅋ근데 해은아 서운하고 설레고 질투내더니 진실게임은 도대체 왜그냥~7일의 시간이 너무 짧다...
1560,  구구구,아니 애초에 근데 현규가 대단한게 지연 대화 전에 지연이 현규보고 오빠인데도 불과하고 뒤질래?라고 말함 근데 그런걸 듣고도 절대 언성을 높이지 않고 처음부터 끝까지 차분하게 할 말 다 했음 진짜 현규 개똑똑함.. 저런 사람을 똑똑하다고 표현하는게 맞음
1561,  We All Shine,"현규 방 진짜 깨끗해, 지연이 방 테이블 보고 놀랬어요"
1562,  u J,나언이 보면서 단순히 똑부러지는 사람이라고 생각했는데저렇게까지 남들 생각해주고 챙기고 배려하는 모습이 진짜 쉬운게 아니란걸 점점 느낌
1563,  박한울,하 너무나도 ㅠㅠㅠ 해은이 따라하는거 개귀여웡
1564,  lifeisreal,0:48 현규 너무나도 ..
1565,  성이름,아니 현규가 AI가 아니고 실존 인물이라는게 날 미치게 해...
1566,  su jin lee,계속 보고 싶다 현규 ㅜㅜㅜ
1567,  룰루랄라??,환승연애 통틀어서 최고의 출연진 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 현규야 응원해 !!!!!!!!!!!
1568,  F,현규눈 현규가 지연이랑 둘이 방에 들어가는걸 보고 크게 오해했을 법에도 불구하고 조곤조곤 자신의 감정 예의지켜 말해주는 이렇게나 성숙하고 상냥하고 어른스러운 해은누나 조아하는데 난데없아 일진짓하는 지연이 보면서 얼마나 ...?했겠냐고 ㅋㅋㅋㅋㅋ
1569,  melodycong??,대본아니죠..?! 진짜 입틀막 혼자 소리 지르면서 봤다.. 한회 한회 역대급이다ㅠ 제발 둘이 해피엔딩 ㅠㅠㅠㅠㅠ
1570,  레모니,현규님은 뭔가 저세상 인물인데 진심 와 진짜로 와 진짜로
1571,  Cheulgi,제발 행복해라 해은누나!!!
1572,  냐암냠냠,2:21 진짜 개 설레는 포인트
1573,  김진,해은이가 규민이 이제 충분히 잊을 수 있을 듯.진짜 좋은 사람 나타나면 전에 만났던 사람 1도 생각 안남. 사람은 사람으로 잊는다라는 말이 있듯이 해은이가 규민이 잊고 현규 만나서 행복하기를 ㅎㅎ기대합니다.
1574,  전생에고양이였다,와 해은님이 진짜 사람 좋은듯 얘기하다가 자연스러게 손을 잡았는데 손 잡아서 미안하다고 하는거 같은데 예의 바르고 좋으신 분 같음
1575,  대박인생,아 내심장 꿈틀꿈틀.. 현규 너 어쩔거ㅠ 아 내 심장 ?   넘 멋지자나ㅠ
1576,  Bi_in,이용진님이 리액션 = 시청자들의 맘
1577,  이름없음,제작진에 최대 실수는 현규를 너무 늦게 투입한거임 현규가 해은 비슷한 시기에 들어왔다면 해은은 규민 정리하는게 더 빨랐다…진짜
1578,  테일러스위프트존나사랑해,"근데 우리가 간과하면 안 되는게.. 회차로는 4회차라 4주차지만.. 환연에서는 고작 4일 지난거임.. 내내 힘들다가 4일 현규 만나서 규민이에 대한 마음이 완전히 청산된다는 것 자체가 불가능하다고 생각함. 불도저같은 현규 직진이 있었기에 51:49 얘기가 나왔고 그것만으로도 난 이미 현규한테 넘어왔다고 생각함. 현규가 포기할 사람 같지도 않아서 이미 희망회로 행복회로 오지게 돌리는 중,,,"
1579,  뚱랑,드라마보다 훨씬 재미있고1분만 놓쳐도 아쉬운건 처음..왜 내가 설레고 난리죠애들이 잠들어야 볼수있는데짤만 봐도 미쳐!!! 헝거야 넌 정체가 뭐니 ㅜㅜ
1580,  만나,아 진짜 너무 재밌어 ㅠㅠ 담주까지 어케 기달려 ㅠㅠㅠㅠ
1581,  때지니깜찌기,항상 말투나 아니면 인터뷰에서 '너무나도' 자주 쓰는거 보면 해은이 말버릇인거 같은데 이번화에서 현규도 너무나도 너무나도 하는거보고 진짜 좋아해서 닮아가는 것 같다구 느낌 ㅠㅠㅠ
1582,  계란말이,해은이 행복하니까 좋다 ;)))
1583,  Songers,이용진 개웃겨 진짜 ㅠㅠㅠㅋㅋㅋㅋㅋ
1584,  진jin,연애프로에서 본 사람중 제일 역대급으로 괜찮음
1585,  크와앙명,흐아 이제부터 좋은 남자의 표본은 현규다 땅땅?
1586,  suhyonn,"현규 대박이다... 그리고 현규를 데리고온 나언,, 최고 ,,,"
1587,  박성용,"해은아 진짜 ""큰 사람""은 현규다.. 저런 남자 진짜 본 적이 없다 난 지금까지"
1588,  2주,ㅎㅎㅎ나언이 진짜 넘 귀엽고 착해
1589,  송애교,너 진짜 노빠꾸구나 할때 ㅋㅋㅋ해은은 왜케귀엽고 저상황은 왜케 설레냐고 ㅋㅋㅋㅋㅋㅋㅋ
1590,  Tpdus,제발 마지막선택 해은아ㅠㅠ  헝구랑 행복하자ㅠㅠ
1591,  아일본가고싶다,진짜 너무 설레 저런사람이 있다니 헝구씨 응원합니다…
1592,  Z Z,이제까지 연애생각 없이 살았었는데 이 영상을 보고 해은이가 너무 부러웠음.. 살면서 저런남자 만나고싶단 생각 처음으로 해봄ㅠ 멋있다 현규야
1593,  낭낭,진짜 누구에게나 확실하고 솔직한데 부드러움 ..
1594,  성이름,헝구야ㅜㅜ인간의 복지를 위해 헝구를 마구마구 복제해서 보급해야될것같아. 헝구가 세상에 한 명밖에 없다는 건 비극이야♡
1595,  레모니,"지연한테도 확실하게 말하고 싶은데 사람들 다 있는 곳에서 대놓고 무안주지 않고 따로 불러서 입장 정리하고, 그리고 그 모습을 봤을 해은이가 걱정할까봐 또 해은이 불러서 내가 왜 지연이랄 불러서 따로 무슨 얘기를 했으며 그리고 나는 앞으로도 노빠꾸다! 라고 말하는거 이거 무엇이냐구요 정말"
1596,  소호soho tv,나언이 진짜 매력 어쩌지??ㅋㅋㅋㅋ하 너무 좋다
1597,  죠앤TV,헝거등장이후로 로맨틱드라마됨.  정말 현실캐릭터라는데 믿기지않음 
1598,  Ji Kim,현규는  해은이 손잡고 싶은데 꾹 참는 느낌~~^^ 히히
1599,  채아,2:33 너무 무해한 저 웃음 좋다ㅜㅜ
1600,  후훗,헝구야 왜 누나 맘 설레게해ㅠㅠㅠㅠㅠ미쳣나 완벽 그자체자나ㅠㅠㅠ
1601,  왕자님,현규한테 많이 배운다..... 캬 진짜 멋있다 ㅠ기명규!!
1602,  빵,와 진짜.. 둘이 잘됐으면 좋겠다 ㅎㅎㅎㅎ
1603,  디기디기딩갱갱갱,헝구야 환승연애2는 너가 주인공이다..
1604,  소리없는정우성,0:14 아진짜 자연스럽게 손잡는거 대박이라고 현규야… 왜 나까지 꼬시냐고 아 진짜
1605,  W Y,현규님 더 좋은게 쟤가 나한테 호감이 있어서 데이트 하자는 소리인가라는 생각도 들었겠지만 도끼병마냥 확신하거나 억측하지 않으려고 하고 진짜 밥먹자의 의미대로 해석하려고 하는점... 개좋아...
1606,  소현,헝구 ㅜㅜㅜㅜ 아 진짜 최고야
1607,  유부초밥,아.. 진짜 지연때문에 볼때마다 가슴이 막 답답해지는 기분들고 왜저러나 싶었는데 현규가 진짜 조곤조곤하게 팩트 막날리는데 속이 뻥
1608,  jeong,예전에도 현규는 왕자님이라고 댓글 달아다만 ㄹㅇ 사람 자체가 유니콘임
1609,  serah,멋있다 .. 해은 진짜 이쁘다 현규도 멋있네
1610,  민지 박,전국민이 기다렸던 바로 이장면 드뎌 나왓습니다
1611,  fkked jfe,"나언이 현규한테 많이 배웠다고했는데 보다보니까 나언이랑 현규가 상대방하고 말하는 방식, 오해푸는 방법 같은게 진짜 비슷함"
1612,  ssssssss2b,오늘은 그냥 우리 헝구 나오는 장면마다 명언이었음.. 진짜 직진은 헝구처럼...
1613,  Moon,현규 진짜 최고다...
1614,  시끄러,현규든 해은이든 본인이 행복한 선택하면 좋겠다ㅠㅠ 다만 뭐가되었든 현규가 만날 여자는 진짜 앞으로 인생이 행복할 것 같다ㅠㅠㅠㅠㅠ
1615,  떼아저장소,아 진짜 너무 설렌다
1616,  지애지유,멋잇다 짧게만봐도 멋잇다 지연과의일은내가봐도 어이없는상황인데  조곤조곤할말하는거도 멋잇고 해은한테 다 사실대로 말하고 걱정안하게해주는것도 좋고ㅠㅠ 지연은무슨 자기랑 데이트하면 다 자기한테맘잇을줄아는건지... 암튼 해은현규 행벅해라
1617,  꾸꾸,하... 너무 귀여운데 또 너무 멋있고 이런 사람 놓치면 그건 바보야
1618,  Silvia Raysa  Purba,Haeuunn and Hyungyu ?
1619,  오늘알린,제발 이제 규민이 놔주고 현규랑 꽁냥해줘여ㅠㅠㅠㅠㅠ해은옹니 제발!!
1620,  안안,25살 이라는게 놀라울 따름... 서른 먹은 나두 아직도 철부지인데 진짜 감탄만 나오는 친구
1621,  데인,2:07 정신체크냥 고양이의 보은 쾌녀 쿨냥이그자체
1622,  Jay Ahn,아니 환승연애 안 보는 남잔데.. 현규 이사람 클립 묘하게 끌려서 자꾸 보게 되네. 여러모로 되게 멋있다.
1623,  mong,둘이 흥해라!!!!!! ?
1624,  yeon seo,정말 헝구 또박또박 말 잘헌다
1625,  sun mi chong,"나언이 왜 차였는지 알겠고, 현규가 해은이한테 철없는 20대의 사랑 아닌, 성숙하고 다시 설레는 뜨거운 사랑을 알려주길 ㅎㅎ이 언니, 남편이랑 뜨겁게 응원해요 "
1626,  불고기낙지비빔밥,진짜 이런 사람이 존재하긴 한거였구나 설렌다
1627,  김지원,환연 안 보는데도 이 둘은 흥미진진하다
1628,  수연,헝구 실존인물인가요???? 진짜ㅜ희귀ㅠㅠㅠㅠ
1629,  dhdld,진짜 어떻게 이래요 사람이 ㅜㅜ 해은언니 이 남자 놓치지마 제발...
1630,  은하수,진짜 멋있다~~ 오해풀어주려고하는것도 멋있고~ 최고다^^
1631,  여백,하.. 지연 현규 보다가 해은 현규 보니까 힐링
1632,  토니스타크,더 멋있게 말했자나~~왜그래 ㅋㅋㅋㅋ(해은이 방송으로 보면 더 심쿵할듯)
1633,  Monar lizarhtwe,Hyun Gyu & Hae Eun
1634,  MJ C,아 뭐야 현규~~~~  너무 멋지잖아~~~~
1635,  rami lil,현규는 자기가 좋아하는 여자가 오해하게 하지 않는 사람이구나.. 그런걸로 여자 눈물 흘리게 하지 않을 멋진 남자구나 ㅠ_ㅠ 헝구 죠아....
1636,  빈샘,진짜 완벽한 남자… 그리고 둘이 너무 잘 어울려
1637,  only 1,질질 끌고 헷갈리게하는 인간들만 보다가현규보니세상 맑다아유 시원해
1638,  떠,현규가 갓벽한 게 해은이 서운해하는 걸 알고 먼저 얘기 꺼내고 거절한 얘기까지 함… 진짜 부족한 게 뭐임
1639,  우주벌레,해은아 행복해 ㅠㅠㅠ
1640,  JNee,너무멋잇어ㅠㅠㅠ 현규 너무좋아
1641,  블링블링 챙챙,해은 웅니 담주에 규민이 정리하는걸로 믿을게요ㅜㅜ헝구 상처 주지마 ㅠㅠㅠㅠ 허리짤이 아직 안나온거 봐선 x데이트 이후란 얘기인데 기대해도 되는거죠? 언니가 인터뷰에서 확실히 정리됐다고 했으니까… 진게에서도 마음을 정하기 위해선 규민이하고 얘기는 반드시 해야한다 했으니까 아마 정리라고 믿을게요!! 솔직히 호민 보현처럼 제대로 된 대화를 했었어야됐는데 규민이의 회피로 인해 제대로된 대화 자체를 안했어서 정리할 기회가 없긴 했… 규민아 1:1대할때처럼 또 회피하기만 해 그땐 진짜 뒈진다..
1642,  응 아니야,진짜 단단한 분이네 현규씨 ...
1643,  정승호,헝구랑 해은이랑 진짜 찰떡궁합이다
1644,  kso,사랑은 역시 확신과 믿음저둘사이두 그런게쌓여서 예쁜만남의과정되길ㅋ현규야 설렌당~~멋짐 설렘 외모~~말하는거 다 진국이네ㅋㅋ심쿵~♡
1645,  별,현규 부모님이 궁금하다 넘 훌륭하신분일 거같앙
1646,  고심이가최고심,너네는 아무나 만나기엔 너무 큰 사람들이야 .. 둘이 안 사귀더라도 제발 평생 행복해
1647,  Suyeong Son,진짜 미친거 아닙니까ㅠ 너무 멋있잖아 사람이
1648,  암마호호,그나저나  나언이 너무 귀엽다 ㅋㅋ
1649,  잇침,와 현규 사이다… 해은이의 찝찝함을 그냥 해결해주네..
1650,  은연,진짜 미친거아니야? 저렇게 외모도 성격도 인성도 멘탈도 학벌도 모든게 완벽한 사람이 실존한다고?
1651,  갱,미쳤다 진짜... 와...심쿵..
1652,  꺅꺄르륵,와 진짜 미쳤다ㅠㅠㅠㅠ
1653,  JINXX,정신을 체크하고 돌아간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1654,  김수희,현규 미쳣다진짜
1655,  지연 고,헝구야 사랑해 ㅠㅠㅠ흑흑
1656,  청명,그와중에 나언이 센스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정신 붙어있는지 확인하러 왔네 ㅎㅎ
1657,  빌리지,똑똑하니 말 싸움도잘함 ㅋㅋㅋㅋ
1658,  벨라,해은언니..우리 꽃길만 걸어요
1659,  짱숑짱아맘,아~~~현규랑 해은이 넘 잘어울려요
1660,"  Hi, It's me",현규...미치겠다. 딱 내 스타일... 나언이도 넘 좋아. 마음이 너무 이뻐.
1661,  susanna,지연이랑 대화나눈거 보고 이거 보니까 현규 분위기 다른거 진짜 새삼 느낀다. 지연이랑 말할때는 정적이고 단답인데 해은이한테는 진짜 강아지같아ㅋㅌㅋ
1662,  Suyeong Son,이런 연애프로 출연자 중 단연코 최고
1663,  hey,1:13 현규 입삐죽 ㅡ3ㅡ 귀엽닼ㅋㅋㅋ해은이 속상했다고 하니까 입삐죽
1664,  Isabella Styles,진짜 연프사상 최고의 캐릭터다완벽 그 잡채네
1665,  빈센트,손잡는거 심쿵
1666,  jmjas2hj,1:13 에 현규 입 삐쭉 귀엽다.......
1667,  슈슈,헝구야 우리남편보다 더 사랑해 
1668,  진진,2:54 진짜ㅋㅋㅋㅋ니맘내맘
1669,  ㄲ,진짜 시청자1인 나도 개설레서죽기직전인데 해은이 저상황에서 대답한것만으로대단하다 나같음 민경훈고함지르고 그자리에서기절
1670,  ㅇㅇ,현규 놓치지말자
1671,  지녕이,아니진짜 소설보다 더 소설같은 남주...현규
1672,  YH,이렇게 완벽한 사람이 존재하는게 신기하다...
1673,  choba,하 제발 해은아!!!!!!!!!!!! 현규야 현규 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
1674,  김여름,똑똑하고 현명하고 꺅~~~너무 멋있다
1675,  효진최,아~ 이번화는 진짜  잇몸이 다말랐어요~
1676,  ㅇㅇ,아진짜 너무 좋다
1677,  천송이,얼굴이 빨개질 정도로 취한것 같은데 저렇게 침착할수 있다고? 현규 취한것 알고 나언이가 챙기는것도 놀랍고~나보다 15살이나 어린애들이 이렇게 성숙하다니..보는 내내 놀랐음
1678,  순,아니 둘이 미쳤냐고 난 진짜 연애프로보면서 이렇게 설렌적은 처음이다...
1679,  괜찮아,뭐 저렇게 멋진 애가 있지
1680,  Less Time,"해은아 2012년 정확히 십년전에 일이야.현규랑 넘 닮은 외모, 목소리, 성격을 가진( 환연2보다 깜짝놀램) 남자에게 넘치는 배려와 사랑을 받았어.  그리고 그때 난 너처럼 지난 연애의 고리를 끊어내지 못해 힘들어 했었어.  너랑은 조금 상황이 다르지만 난 전남친이 계속 집착했었거든. 솔직히 좋은 남자는 아니였고.  근데 그때 난 현규같았던 새로운 사랑의 손을 놓아버렸어.전 남친의 집착에 지치기도 했었고 내 옆에서 상처 받느니 나보다 더 좋은 여자를 만나라고 놓아주었어.  그때 울먹이며 들썩이던 그의 어깨가 아직도 기억나. 늘 규민이한테 상처받는 해은일 현규가 지키듯이  나  또한 전남친이 납치하고 난리를 쳐도 그 사람이 강하고 조용히 날 지켜주었는데..  내가 그 손을 놓았어.. 난 분명 후회할꺼라고 생각하면서도 그 선택을 했어.. 제발 해은아.. 현규를 놓치지마. 정말 부탁이야...  난 십년 가량 후회했어.. 방송 보는 내내 너를 응원했고 같이 울었어. 그런데 내 10년 전 날 지켜준 그 사람과 외면과 내면이 너무도 비슷한 현규를 보면서 얼마나 또 설렜는데.. 제발 넌 현명한 선택을 해줘.. 지어낸 얘기 아니야..   나 너무 간절하고 진심이야.  그렇게 좋은 사람은 일생동안 흔하지 않아..제발.. 그 사람을 놓치지마.."
1681,  podo,현규 하 진짜 설레죽겠네 직진연하남 미쳐
1682,  윤thon,누나라고 부르는거 새삼 좋다ㅋㅋ
1683,  선은주,"나언,현규 영입은 진짜 신의한수다."
1684,  죠아~쑤!!,아씨 미치겟네요ㅋㅋㅋㅋ 현규님 왜케 멋잇는고뤠!!??
1685,  권장구니,와나진짜 현규어쩌냐..너무좋아 ㅠㅠ 확신주는 남자 와
1686,  별바람,해은님...볼수록 말들이 다 예쁜 느낌~
1687,  OwO,아 진짜 멋있다.. 해은 꽉잡아.. 부러워
1688,  지우 tyler,스펙이 너무 사기라 인정하기 싫기도 했는데.. 볼수록 더 멋있네
1689,  라헬,진짜 이런남자 너무 좋아. 확실해서 멋져
1690,  sojeong108,힝구 손잡으려 하는거 개설레느 ㅎㅎ
1691,  우,해은언니............현규 ..정말 멋진 남자...
1692,  혀뇨니다,진짜 너무 설렌다.. 손잡는거 보고 두큰두큰 거리넹
1693,  J Shin,나 저런사람 처음봐.. 진짜 드라마에서도 못본 캐릭터야.. 실존인물 맞냐고..
1694,  이가람,진짜 이 장면 보면서 결혼해를 몇번이나 외쳤는지
